adduser	3.118ubuntu2
libavahi-common3:amd64	0.7-4ubuntu7.3
libavcodec-dev:amd64	7:4.2.7-0ubuntu0.1
libavcodec58:amd64	7:4.2.7-0ubuntu0.1
libavformat-dev:amd64	7:4.2.7-0ubuntu0.1
libavformat58:amd64	7:4.2.7-0ubuntu0.1
libavresample-dev:amd64	7:4.2.7-0ubuntu0.1
libavresample4:amd64	7:4.2.7-0ubuntu0.1
libavutil-dev:amd64	7:4.2.7-0ubuntu0.1
libavutil56:amd64	7:4.2.7-0ubuntu0.1
libbinutils:amd64	2.34-6ubuntu1.11
libblas-dev:amd64	3.9.0-1build1
libblas3:amd64	3.9.0-1build1
libblkid1:amd64	2.34-0.1ubuntu9.6
libbluray2:amd64	1:1.2.0-1
libboost-all-dev	1.71.0.0ubuntu2
libboost-atomic-dev:amd64	1.71.0.0ubuntu2
libboost-atomic1.71-dev:amd64	1.71.0-6ubuntu6
libboost-atomic1.71.0:amd64	1.71.0-6ubuntu6
libboost-chrono-dev:amd64	1.71.0.0ubuntu2
libboost-chrono1.71-dev:amd64	1.71.0-6ubuntu6
libboost-chrono1.71.0:amd64	1.71.0-6ubuntu6
libboost-container-dev:amd64	1.71.0.0ubuntu2
libboost-container1.71-dev:amd64	1.71.0-6ubuntu6
libboost-container1.71.0:amd64	1.71.0-6ubuntu6
libboost-context-dev:amd64	1.71.0.0ubuntu2
libboost-context1.71-dev:amd64	1.71.0-6ubuntu6
libboost-context1.71.0:amd64	1.71.0-6ubuntu6
libboost-coroutine-dev:amd64	1.71.0.0ubuntu2
libboost-coroutine1.71-dev:amd64	1.71.0-6ubuntu6
libboost-coroutine1.71.0:amd64	1.71.0-6ubuntu6
libboost-date-time-dev:amd64	1.71.0.0ubuntu2
libboost-date-time1.71-dev:amd64	1.71.0-6ubuntu6
libboost-date-time1.71.0:amd64	1.71.0-6ubuntu6
libboost-dev:amd64	1.71.0.0ubuntu2
libboost-exception-dev:amd64	1.71.0.0ubuntu2
libboost-exception1.71-dev:amd64	1.71.0-6ubuntu6
libboost-fiber-dev:amd64	1.71.0.0ubuntu2
libboost-fiber1.71-dev:amd64	1.71.0-6ubuntu6
libboost-fiber1.71.0:amd64	1.71.0-6ubuntu6
libboost-filesystem-dev:amd64	1.71.0.0ubuntu2
libboost-filesystem1.71-dev:amd64	1.71.0-6ubuntu6
libboost-filesystem1.71.0:amd64	1.71.0-6ubuntu6
libboost-graph-dev:amd64	1.71.0.0ubuntu2
libboost-graph-parallel-dev	1.71.0.0ubuntu2
libboost-graph-parallel1.71-dev	1.71.0-6ubuntu6
libboost-graph-parallel1.71.0	1.71.0-6ubuntu6
libboost-graph1.71-dev:amd64	1.71.0-6ubuntu6
libboost-graph1.71.0:amd64	1.71.0-6ubuntu6
libboost-iostreams-dev:amd64	1.71.0.0ubuntu2
libboost-iostreams1.71-dev:amd64	1.71.0-6ubuntu6
libboost-iostreams1.71.0:amd64	1.71.0-6ubuntu6
libboost-locale-dev:amd64	1.71.0.0ubuntu2
libboost-locale1.71-dev:amd64	1.71.0-6ubuntu6
libboost-locale1.71.0:amd64	1.71.0-6ubuntu6
libboost-log-dev	1.71.0.0ubuntu2
libboost-log1.71-dev	1.71.0-6ubuntu6
libboost-log1.71.0	1.71.0-6ubuntu6
libboost-math-dev:amd64	1.71.0.0ubuntu2
libboost-math1.71-dev:amd64	1.71.0-6ubuntu6
libboost-math1.71.0:amd64	1.71.0-6ubuntu6
libboost-mpi-dev	1.71.0.0ubuntu2
libboost-mpi-python-dev	1.71.0.0ubuntu2
libboost-mpi-python1.71-dev	1.71.0-6ubuntu6
libboost-mpi-python1.71.0	1.71.0-6ubuntu6
libboost-mpi1.71-dev	1.71.0-6ubuntu6
libboost-mpi1.71.0	1.71.0-6ubuntu6
libboost-numpy-dev	1.71.0.0ubuntu2
libboost-numpy1.71-dev	1.71.0-6ubuntu6
libboost-numpy1.71.0	1.71.0-6ubuntu6
libboost-program-options-dev:amd64	1.71.0.0ubuntu2
libboost-program-options1.71-dev:amd64	1.71.0-6ubuntu6
libboost-program-options1.71.0:amd64	1.71.0-6ubuntu6
libboost-python-dev	1.71.0.0ubuntu2
libboost-python1.71-dev	1.71.0-6ubuntu6
libboost-python1.71.0	1.71.0-6ubuntu6
libboost-random-dev:amd64	1.71.0.0ubuntu2
libboost-random1.71-dev:amd64	1.71.0-6ubuntu6
libboost-random1.71.0:amd64	1.71.0-6ubuntu6
libboost-regex-dev:amd64	1.71.0.0ubuntu2
libboost-regex1.71-dev:amd64	1.71.0-6ubuntu6
libboost-regex1.71.0:amd64	1.71.0-6ubuntu6
libboost-serialization-dev:amd64	1.71.0.0ubuntu2
libboost-serialization1.71-dev:amd64	1.71.0-6ubuntu6
libboost-serialization1.71.0:amd64	1.71.0-6ubuntu6
libboost-stacktrace-dev:amd64	1.71.0.0ubuntu2
libboost-stacktrace1.71-dev:amd64	1.71.0-6ubuntu6
libboost-stacktrace1.71.0:amd64	1.71.0-6ubuntu6
libboost-system-dev:amd64	1.71.0.0ubuntu2
libboost-system1.71-dev:amd64	1.71.0-6ubuntu6
libboost-system1.71.0:amd64	1.71.0-6ubuntu6
libboost-test-dev:amd64	1.71.0.0ubuntu2
libboost-test1.71-dev:amd64	1.71.0-6ubuntu6
libboost-test1.71.0:amd64	1.71.0-6ubuntu6
libboost-thread-dev:amd64	1.71.0.0ubuntu2
libboost-thread1.71-dev:amd64	1.71.0-6ubuntu6
libboost-thread1.71.0:amd64	1.71.0-6ubuntu6
libboost-timer-dev:amd64	1.71.0.0ubuntu2
libboost-timer1.71-dev:amd64	1.71.0-6ubuntu6
libboost-timer1.71.0:amd64	1.71.0-6ubuntu6
libboost-tools-dev	1.71.0.0ubuntu2
libboost-type-erasure-dev:amd64	1.71.0.0ubuntu2
libboost-type-erasure1.71-dev:amd64	1.71.0-6ubuntu6
libboost-type-erasure1.71.0:amd64	1.71.0-6ubuntu6
libboost-wave-dev:amd64	1.71.0.0ubuntu2
libboost-wave1.71-dev:amd64	1.71.0-6ubuntu6
libboost-wave1.71.0:amd64	1.71.0-6ubuntu6
libboost1.71-dev:amd64	1.71.0-6ubuntu6
libboost1.71-tools-dev	1.71.0-6ubuntu6
libbrotli1:amd64	1.0.7-6ubuntu0.1
libbsd0:amd64	0.10.0-1
libbullet-dev:amd64	2.88+dfsg-2build2
libbullet2.88:amd64	2.88+dfsg-2build2
libbz2-1.0:amd64	1.0.8-2
libc-bin	2.31-0ubuntu9.18
libc-dev-bin	2.31-0ubuntu9.18
libc6:amd64	2.31-0ubuntu9.18
libc6-dev:amd64	2.31-0ubuntu9.18
libcairo-gobject2:amd64	1.16.0-4ubuntu1
libcairo2:amd64	1.16.0-4ubuntu1
libcap-ng0:amd64	0.7.9-2.1build1
libcap2:amd64	1:2.32-1ubuntu0.2
libcap2-bin	1:2.32-1ubuntu0.2
libcbor0.6:amd64	0.6.0-0ubuntu1
libcc1-0:amd64	10.5.0-1ubuntu1~20.04
libcdt5:amd64	2.42.2-3build2
libcfitsio-dev:amd64	3.470-3
libcfitsio8:amd64	3.470-3
libcgraph6:amd64	2.42.2-3build2
libcharls-dev:amd64	2.0.0+dfsg-1build1
libcharls2:amd64	2.0.0+dfsg-1build1
libchromaprint1:amd64	1.4.3-3build1
libclang-cpp18	1:18.1.8-11~20.04.2
libclang1-10	1:10.0.0-4ubuntu1
libcodec2-0.9:amd64	0.9.2-2
libcolord2:amd64	1.4.4-2
libcom-err2:amd64	1.45.5-2ubuntu1.2
libconsole-bridge-dev:amd64	0.4.4+dfsg-1build1
libconsole-bridge0.4:amd64	0.4.4+dfsg-1build1
libcrypt-dev:amd64	1:4.4.10-10ubuntu4
libcrypt1:amd64	1:4.4.10-10ubuntu4
libcryptsetup12:amd64	2:2.2.2-3ubuntu2.5
libctf-nobfd0:amd64	2.34-6ubuntu1.11
libctf0:amd64	2.34-6ubuntu1.11
libcups2:amd64	2.3.1-9ubuntu1.9
libcurl3-gnutls:amd64	7.68.0-1ubuntu2.25
libcurl4:amd64	7.68.0-1ubuntu2.25
libcurl4-gnutls-dev:amd64	7.68.0-1ubuntu2.25
libdap-dev:amd64	3.20.5-1
libdap25:amd64	3.20.5-1
libdapclient6v5:amd64	3.20.5-1
libdapserver7v5:amd64	3.20.5-1
libdatrie1:amd64	0.2.12-3
libdb5.3:amd64	5.3.28+dfsg1-0.6ubuntu2
libdbus-1-3:amd64	1.12.16-2ubuntu2.3
libdc1394-22:amd64	2.2.5-2.1
libdc1394-22-dev:amd64	2.2.5-2.1
libdconf1:amd64	0.36.0-1
libdebconfclient0:amd64	0.251ubuntu1
libdevmapper-event1.02.1:amd64	2:1.02.167-1ubuntu1
libdevmapper1.02.1:amd64	2:1.02.167-1ubuntu1
libdns-export1109	1:9.11.16+dfsg-3~ubuntu1
libdouble-conversion3:amd64	3.1.5-4ubuntu1
libdpkg-perl	1.19.7ubuntu3.2
libdrm-amdgpu1:amd64	2.4.107-8ubuntu1~20.04.2
libdrm-common	2.4.107-8ubuntu1~20.04.2
libdrm-intel1:amd64	2.4.107-8ubuntu1~20.04.2
libdrm-nouveau2:amd64	2.4.107-8ubuntu1~20.04.2
libdrm-radeon1:amd64	2.4.107-8ubuntu1~20.04.2
libdrm2:amd64	2.4.107-8ubuntu1~20.04.2
libeatmydata1:amd64	105-7
libedit2:amd64	3.1-20191231-1
libegl-dev:amd64	1.3.2-1~ubuntu0.20.04.2
libegl-mesa0:amd64	21.2.6-0ubuntu0.1~20.04.2
libegl1:amd64	1.3.2-1~ubuntu0.20.04.2
libeigen3-dev	3.3.7-2
libelf1:amd64	0.176-1.1ubuntu0.1
libepoxy0:amd64	1.5.4-1
libepsilon-dev:amd64	0.9.2+dfsg-4
libepsilon1:amd64	0.9.2+dfsg-4
liberror-perl	0.17029-1
libevdev2:amd64	1.9.0+dfsg-1ubuntu0.2
libevent-2.1-7:amd64	2.1.11-stable-1
libevent-core-2.1-7:amd64	2.1.11-stable-1
libevent-dev	2.1.11-stable-1
libevent-extra-2.1-7:amd64	2.1.11-stable-1
libevent-openssl-2.1-7:amd64	2.1.11-stable-1
libevent-pthreads-2.1-7:amd64	2.1.11-stable-1
libexif-dev:amd64	0.6.21-6ubuntu0.4
libexif12:amd64	0.6.21-6ubuntu0.4
libexpat1:amd64	2.2.9-1ubuntu0.8
libexpat1-dev:amd64	2.2.9-1ubuntu0.8
libext2fs2:amd64	1.45.5-2ubuntu1.2
libfabric1	1.6.2-3ubuntu0.1
libfdisk1:amd64	2.34-0.1ubuntu9.6
libffi7:amd64	3.3-4
libfido2-1:amd64	1.3.1-1ubuntu2
libfl2:amd64	2.6.4-6.2
libflang-18-dev	1:18.1.8-11~20.04.2
libflann-dev:amd64	1.9.1+dfsg-9build1
libflann1.9:amd64	1.9.1+dfsg-9build1
libfontconfig1:amd64	2.13.1-2ubuntu3
libfontconfig1-dev:amd64	2.13.1-2ubuntu3
libfreetype-dev:amd64	2.10.1-2ubuntu0.4
libfreetype6:amd64	2.10.1-2ubuntu0.4
libfreetype6-dev:amd64	2.10.1-2ubuntu0.4
libfreexl-dev:amd64	1.0.5-3
libfreexl1:amd64	1.0.5-3
libfribidi0:amd64	1.0.8-2ubuntu0.1
libfuse2:amd64	2.9.9-3
libfyba-dev:amd64	4.1.1-6build1
libfyba0:amd64	4.1.1-6build1
libgbm1:amd64	21.2.6-0ubuntu0.1~20.04.2
libgcc-10-dev:amd64	10.5.0-1ubuntu1~20.04
libgcc-9-dev:amd64	9.4.0-1ubuntu1~20.04.2
libgcc-s1:amd64	10.5.0-1ubuntu1~20.04
libgcrypt20:amd64	1.8.5-5ubuntu1.1
libgd3:amd64	2.2.5-5.2ubuntu2.4
libgdal-dev	3.0.4+dfsg-1build3
libgdal26	3.0.4+dfsg-1build3
libgdbm-compat4:amd64	1.18.1-5
libgdbm6:amd64	1.18.1-5
libgdcm-dev	3.0.5-1.1ubuntu2
libgdcm3.0:amd64	3.0.5-1.1ubuntu2
libgdk-pixbuf2.0-0:amd64	2.40.0+dfsg-3ubuntu0.5
libgdk-pixbuf2.0-common	2.40.0+dfsg-3ubuntu0.5
libgeos-3.8.0:amd64	3.8.0-1build1
libgeos-c1v5:amd64	3.8.0-1build1
libgeos-dev	3.8.0-1build1
libgeotiff-dev:amd64	1.5.1-2
libgeotiff5:amd64	1.5.1-2
libgfortran5:amd64	10.5.0-1ubuntu1~20.04
libgif-dev	5.1.9-1ubuntu0.1
libgif7:amd64	5.1.9-1ubuntu0.1
libgirepository-1.0-1:amd64	1.64.1-1~ubuntu20.04.1
libgl-dev:amd64	1.3.2-1~ubuntu0.20.04.2
libgl1:amd64	1.3.2-1~ubuntu0.20.04.2
libgl1-mesa-dev:amd64	21.2.6-0ubuntu0.1~20.04.2
libgl1-mesa-dri:amd64	21.2.6-0ubuntu0.1~20.04.2
libgl2ps-dev	1.4.0+dfsg1-2
libgl2ps1.4	1.4.0+dfsg1-2
libglapi-mesa:amd64	21.2.6-0ubuntu0.1~20.04.2
libgles-dev:amd64	1.3.2-1~ubuntu0.20.04.2
libgles1:amd64	1.3.2-1~ubuntu0.20.04.2
libgles2:amd64	1.3.2-1~ubuntu0.20.04.2
libglew-dev:amd64	2.1.0-4
libglew2.1:amd64	2.1.0-4
libglib2.0-0:amd64	2.64.6-1~ubuntu20.04.9
libglib2.0-data	2.64.6-1~ubuntu20.04.9
libglu1-mesa:amd64	9.0.1-1build1
libglu1-mesa-dev:amd64	9.0.1-1build1
libglvnd-dev:amd64	1.3.2-1~ubuntu0.20.04.2
libglvnd0:amd64	1.3.2-1~ubuntu0.20.04.2
libglx-dev:amd64	1.3.2-1~ubuntu0.20.04.2
libglx-mesa0:amd64	21.2.6-0ubuntu0.1~20.04.2
libglx0:amd64	1.3.2-1~ubuntu0.20.04.2
libgme0:amd64	0.6.2-1build1
libgmp10:amd64	2:6.2.0+dfsg-4ubuntu0.1
libgnutls30:amd64	3.6.13-2ubuntu1.12
libgomp1:amd64	10.5.0-1ubuntu1~20.04
libgpg-error0:amd64	1.37-1
libgphoto2-6:amd64	2.5.25-0ubuntu0.1
libgphoto2-dev:amd64	2.5.25-0ubuntu0.1
libgphoto2-port12:amd64	2.5.25-0ubuntu0.1
libgpm2:amd64	1.20.7-5
libgraphite2-3:amd64	1.3.13-11build1
libgsm1:amd64	1.0.18-2
libgssapi-krb5-2:amd64	1.17-6ubuntu4.11
libgssapi3-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libgstreamer-plugins-base1.0-0:amd64	1.16.3-0ubuntu1.4
libgstreamer1.0-0:amd64	1.16.3-0ubuntu1.2
libgtest-dev:amd64	1.10.0-2
libgtk-3-0:amd64	3.24.20-0ubuntu1.2
libgtk-3-common	3.24.20-0ubuntu1.2
libgts-0.7-5:amd64	0.7.6+darcs121130-4
libgudev-1.0-0:amd64	1:233-1
libgvc6	2.42.2-3build2
libgvpr2:amd64	2.42.2-3build2
libharfbuzz0b:amd64	2.6.4-1ubuntu4.3
libhcrypto4-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libhdf4-0-alt	4.2.14-1ubuntu1
libhdf4-alt-dev	4.2.14-1ubuntu1
libhdf5-103:amd64	1.10.4+repack-11ubuntu1
libhdf5-cpp-103:amd64	1.10.4+repack-11ubuntu1
libhdf5-dev	1.10.4+repack-11ubuntu1
libhdf5-mpi-dev	1.10.4+repack-11ubuntu1
libhdf5-openmpi-103:amd64	1.10.4+repack-11ubuntu1
libhdf5-openmpi-dev	1.10.4+repack-11ubuntu1
libheimbase1-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libheimntlm0-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libhogweed5:amd64	3.5.1+really3.5.1-2ubuntu0.2
libhwloc-dev:amd64	2.1.0+dfsg-4
libhwloc-plugins:amd64	2.1.0+dfsg-4
libhwloc15:amd64	2.1.0+dfsg-4
libhx509-5-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libhyphen0:amd64	2.8.8-7
libibverbs-dev:amd64	28.0-1ubuntu1
libibverbs1:amd64	28.0-1ubuntu1
libice-dev:amd64	2:1.0.10-0ubuntu1
libice6:amd64	2:1.0.10-0ubuntu1
libicu-dev:amd64	66.1-2ubuntu2.1
libicu66:amd64	66.1-2ubuntu2.1
libidn2-0:amd64	2.2.0-2
libilmbase-dev:amd64	2.3.0-6build1
libilmbase24:amd64	2.3.0-6build1
libinput-bin	1.15.5-1ubuntu0.3
libinput10:amd64	1.15.5-1ubuntu0.3
libip4tc2:amd64	1.8.4-3ubuntu2.1
libisc-export1105:amd64	1:9.11.16+dfsg-3~ubuntu1
libisl22:amd64	0.22.1-1
libisns0:amd64	0.97-3
libitm1:amd64	10.5.0-1ubuntu1~20.04
libjbig-dev:amd64	2.1-3.1ubuntu0.20.04.1
libjbig0:amd64	2.1-3.1ubuntu0.20.04.1
libjpeg-dev:amd64	8c-2ubuntu8
libjpeg-turbo8:amd64	2.0.3-0ubuntu1.20.04.3
libjpeg-turbo8-dev:amd64	2.0.3-0ubuntu1.20.04.3
libjpeg8:amd64	8c-2ubuntu8
libjpeg8-dev:amd64	8c-2ubuntu8
libjson-c-dev:amd64	0.13.1+dfsg-7ubuntu0.3
libjson-c4:amd64	0.13.1+dfsg-7ubuntu0.3
libjson-glib-1.0-0:amd64	1.4.4-2ubuntu2
libjson-glib-1.0-common	1.4.4-2ubuntu2
libjsoncpp-dev:amd64	1.7.4-3.1ubuntu2
libjsoncpp1:amd64	1.7.4-3.1ubuntu2
libk5crypto3:amd64	1.17-6ubuntu4.11
libkeyutils1:amd64	1.6-6ubuntu1.1
libklibc:amd64	2.0.7-1ubuntu5.2
libkml-dev:amd64	1.3.0-8build1
libkmlbase1:amd64	1.3.0-8build1
libkmlconvenience1:amd64	1.3.0-8build1
libkmldom1:amd64	1.3.0-8build1
libkmlengine1:amd64	1.3.0-8build1
libkmlregionator1:amd64	1.3.0-8build1
libkmlxsd1:amd64	1.3.0-8build1
libkmod2:amd64	27-1ubuntu2.1
libkrb5-26-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libkrb5-3:amd64	1.17-6ubuntu4.11
libkrb5support0:amd64	1.17-6ubuntu4.11
libksba8:amd64	1.3.5-2ubuntu0.20.04.2
liblab-gamut1:amd64	2.42.2-3build2
liblapack-dev:amd64	3.9.0-1build1
liblapack3:amd64	3.9.0-1build1
liblcms2-2:amd64	2.9-4
libldap-2.4-2:amd64	2.4.49+dfsg-2ubuntu1.10
libldap-common	2.4.49+dfsg-2ubuntu1.10
liblept5:amd64	1.79.0-1
libllvm10:amd64	1:10.0.0-4ubuntu1
libllvm12:amd64	1:12.0.0-3ubuntu1~20.04.5
libllvm18:amd64	1:18.1.8-11~20.04.2
liblocale-gettext-perl	1.07-4
liblsan0:amd64	10.5.0-1ubuntu1~20.04
libltdl-dev:amd64	2.4.6-14
libltdl7:amd64	2.4.6-14
liblvm2cmd2.03:amd64	2.03.07-1ubuntu1
liblz4-1:amd64	1.9.2-2ubuntu0.20.04.1
liblz4-dev:amd64	1.9.2-2ubuntu0.20.04.1
liblzma-dev:amd64	5.2.4-1ubuntu1.1
liblzma5:amd64	5.2.4-1ubuntu1.1
liblzo2-2:amd64	2.10-2
libminizip-dev:amd64	1.1-8build1
libminizip1:amd64	1.1-8build1
libmnl0:amd64	1.0.4-2
libmount1:amd64	2.34-0.1ubuntu9.6
libmp3lame0:amd64	3.100-3
libmpc3:amd64	1.1.0-1
libmpdec2:amd64	2.4.2-3
libmpfr6:amd64	4.0.2-1
libmpg123-0:amd64	1.25.13-1ubuntu0.2
libmtdev1:amd64	1.1.5-1.1
libmysqlclient-dev	8.0.42-0ubuntu0.20.04.1
libmysqlclient21:amd64	8.0.42-0ubuntu0.20.04.1
libncurses6:amd64	6.2-0ubuntu2.1
libncursesw6:amd64	6.2-0ubuntu2.1
libnetcdf-c++4	4.2-11build2
libnetcdf-cxx-legacy-dev	4.2-11build2
libnetcdf-dev	1:4.7.3-1
libnetcdf15:amd64	1:4.7.3-1
libnetplan0:amd64	0.104-0ubuntu2~20.04.6
libnettle7:amd64	3.5.1+really3.5.1-2ubuntu0.2
libnghttp2-14:amd64	1.40.0-1ubuntu0.3
libnl-3-200:amd64	3.4.0-1ubuntu0.1
libnl-3-dev:amd64	3.4.0-1ubuntu0.1
libnl-route-3-200:amd64	3.4.0-1ubuntu0.1
libnl-route-3-dev:amd64	3.4.0-1ubuntu0.1
libnpth0:amd64	1.6-1
libnspr4:amd64	2:4.35-0ubuntu0.20.04.1
libnss-systemd:amd64	245.4-4ubuntu3.24
libnss3:amd64	2:3.98-0ubuntu0.20.04.2
libnuma-dev:amd64	2.0.12-1
libnuma1:amd64	2.0.12-1
libodbc1:amd64	2.3.6-0.1ubuntu0.1
libogdi-dev	4.1.0+ds-1build1
libogdi4.1	4.1.0+ds-1build1
libogg-dev:amd64	1.3.4-0ubuntu1
libogg0:amd64	1.3.4-0ubuntu1
libopencv-calib3d-dev:amd64	4.2.0+dfsg-5
libopencv-calib3d4.2:amd64	4.2.0+dfsg-5
libopencv-contrib-dev:amd64	4.2.0+dfsg-5
libopencv-contrib4.2:amd64	4.2.0+dfsg-5
libopencv-core-dev:amd64	4.2.0+dfsg-5
libopencv-core4.2:amd64	4.2.0+dfsg-5
libopencv-dev	4.2.0+dfsg-5
